MAC ADDRESS,DESCRIPTION,DIRECTORY NUMBER 1,OWNER USER ID
BOTQUXIE,BOTQUXIE,114700,quxie
BOTQUXIE1,BOTQUXIE1,114710,quxie1
BOTQUXIE2,BOTQUXIE2,114720,quxie2
BOTQUXIE3,BOTQUXIE3,114730,quxie3
BOTQUXIE4,BOTQUXIE4,114740,quxie4
BOTQUXIE5,BOTQUXIE5,114750,quxie5
BOTQUXIE6,BOTQUXIE6,114760,quxie6
BOTQUXIE7,BOTQUXIE7,114770,quxie7
BOTQUXIE8,BOTQUXIE8,114780,quxie8
BOTQUXIE9,BOTQUXIE9,114790,quxie9
BOTGAMAO,BOTGAMAO,104800,gamao
BOTGAMAO1,BOTGAMAO1,104810,gamao1
BOTGAMAO2,BOTGAMAO2,104820,gamao2
BOTGAMAO3,BOTGAMAO3,104830,gamao3
BOTGAMAO4,BOTGAMAO4,104840,gamao4
BOTGAMAO5,BOTGAMAO5,104850,gamao5
BOTGAMAO6,BOTGAMAO6,104860,gamao6
BOTGAMAO7,BOTGAMAO7,104870,gamao7
BOTGAMAO8,BOTGAMAO8,104880,gamao8
BOTGAMAO9,BOTGAMAO9,104890,gamao9
