MAC ADDRESS,DESCRIPTION,DIRECTORY NUMBER 1,OWNER USER ID
CSFQUXIE,CSFQUXIE,114700,quxie
CSFQUXIE1,CSFQUXIE1,114710,quxie1
CSFQUXIE2,CSFQUXIE2,114720,quxie2
CSFQUXIE3,CSFQUXIE3,114730,quxie3
CSFQUXIE4,CSFQUXIE4,114740,quxie4
CSFQUXIE5,CSFQUXIE5,114750,quxie5
CSFQUXIE6,CSFQUXIE6,114760,quxie6
CSFQUXIE7,CSFQUXIE7,114770,quxie7
CSFQUXIE8,CSFQUXIE8,114780,quxie8
CSFQUXIE9,CSFQUXIE9,114790,quxie9
CSFGAMAO,CSFGAMAO,104800,gamao
CSFGAMAO1,CSFGAMAO1,104810,gamao1
CSFGAMAO2,CSFGAMAO2,104820,gamao2
CSFGAMAO3,CSFGAMAO3,104830,gamao3
CSFGAMAO4,CSFGAMAO4,104840,gamao4
CSFGAMAO5,CSFGAMAO5,104850,gamao5
CSFGAMAO6,CSFGAMAO6,104860,gamao6
CSFGAMAO7,CSFGAMAO7,104870,gamao7
CSFGAMAO8,CSFGAMAO8,104880,gamao8
CSFGAMAO9,CSFGAMAO9,104890,gamao9
