MAC ADDRESS,DESCRIPTION,DIRECTORY NUMBER 1,OWNER USER ID
TCTQUXIE,TCTQUXIE,114700,quxie
TCTQUXIE1,TCTQUXIE1,114710,quxie1
TCTQUXIE2,TCTQUXIE2,114720,quxie2
TCTQUXIE3,TCTQUXIE3,114730,quxie3
TCTQUXIE4,TCTQUXIE4,114740,quxie4
TCTQUXIE5,TCTQUXIE5,114750,quxie5
TCTQUXIE6,TCTQUXIE6,114760,quxie6
TCTQUXIE7,TCTQUXIE7,114770,quxie7
TCTQUXIE8,TCTQUXIE8,114780,quxie8
TCTQUXIE9,TCTQUXIE9,114790,quxie9
TCTGAMAO,TCTGAMAO,104800,gamao
TCTGAMAO1,TCTGAMAO1,104810,gamao1
TCTGAMAO2,TCTGAMAO2,104820,gamao2
TCTGAMAO3,TCTGAMAO3,104830,gamao3
TCTGAMAO4,TCTGAMAO4,104840,gamao4
TCTGAMAO5,TCTGAMAO5,104850,gamao5
TCTGAMAO6,TCTGAMAO6,104860,gamao6
TCTGAMAO7,TCTGAMAO7,104870,gamao7
TCTGAMAO8,TCTGAMAO8,104880,gamao8
TCTGAMAO9,TCTGAMAO9,104890,gamao9
